name, type, abortion, employment, same-sex_marriage, religion, obamacare, social_security, education, environment, crime, gun, taxes, immigrations, trade, foreign_policy, military, voting, international_affairs, climate_change, drugs, economy
John_Boozman,Senate,0,7,0,0,10,10,10,2,0,10,10,0,7,10,2,7,0,10,0,7
Tom_Cotton,Senate,0,7,0,0,10,10,10,0,5,10,10,0,2,7,0,5,2,10,0,7
Dianne_Feinstein,Senate,10,0,10,7,2,2,2,10,2,0,2,10,7,2,5,7,7,0,2,0
Kevin_de_Leon,Senate,10,2,10,5,0,2,0,10,2,0,2,10,5,5,5,10,5,0,10,2
Loretta_Sanchez,Senate,10,0,10,7,0,2,0,10,7,2,2,10,2,0,2,7,7,0,10,2
Michael_Eisen,Senate,5,2,5,5,0,5,5,5,5,0,5,7,5,5,10,5,5,0,5,7
Barbara_Boxer,Senate,10,0,10,10,0,0,0,10,7,0,0,10,2,0,2,7,7,0,7,0
Michael_Bennet,Senate,10,0,10,5,2,0,2,7,5,2,0,10,7,2,0,10,2,2,7,2
Cory_Gardner,Senate,0,2,0,2,10,10,10,0,5,10,10,2,2,10,0,10,2,10,10,10
Chris_Murphy,Senate,10,0,10,5,0,0,0,10,7,0,2,7,0,0,7,10,2,0,7,0
Ann-Marie_Adams,Senate,5,2,2,5,2,5,2,5,5,10,5,7,5,5,5,5,5,5,5,5
Matthew_Corey,Senate,7,2,10,5,2,2,10,0,2,7,7,5,5,5,2,2,0,10,2,2
Richard_Blumenthal,Senate,10,0,7,7,0,0,2,10,2,0,0,7,2,5,0,10,5,0,5,0
Tom_Carper,Senate,7,2,10,10,2,2,2,7,2,0,2,7,10,2,7,10,2,2,2,2
Rob_Arlett,Senate,0,5,5,0,10,5,2,5,5,10,7,0,7,5,0,10,5,5,0,5
Chuck_Boyce,Senate,5,2,10,5,7,5,7,7,5,10,5,2,5,7,2,7,5,0,7,7
Gene_Truono,Senate,0,5,10,5,7,5,2,2,5,5,0,5,5,7,2,5,5,5,7,7
Chris_Coons,Senate,7,0,10,0,2,0,2,7,2,0,0,7,2,0,7,10,2,0,0,0
Bill_Nelson,Senate,10,0,10,7,0,0,0,10,7,2,2,7,10,2,7,7,2,0,10,0
Rick_Scott,Senate,2,5,0,5,10,5,10,7,0,7,10,2,5,10,2,0,10,10,2,10
Edward_Janowski,Senate,2,10,7,2,10,0,2,2,2,10,10,7,0,10,0,0,7,0,10,10
Ron_DeSantis,Senate,0,7,2,5,10,10,10,2,5,10,7,0,7,7,2,7,2,7,10,5
David_Jolly,Senate,0,5,5,0,10,7,10,2,0,10,10,0,2,7,0,7,2,7,0,7
Carlos_Lopez-Cantera,Senate,5,5,5,0,10,2,10,5,5,5,5,2,5,10,5,7,0,10,0,10
Augustus_Invictus,Senate,2,5,10,5,5,5,7,7,5,10,5,2,5,5,7,5,10,2,10,10
Marco_Rubio,Senate,0,7,0,0,7,2,10,0,2,7,10,2,7,7,0,7,0,7,0,10
Johnny_Isakson,Senate,0,5,0,0,7,10,10,2,0,10,10,0,7,10,2,5,0,10,2,7
David_Perdue,Senate,0,10,0,0,7,7,7,0,5,10,10,0,2,7,2,5,5,10,10,10
Mazie_Hirono,Senate,10,0,10,7,0,0,0,10,7,0,0,7,2,2,7,10,5,0,10,0
Bob_McDermott,Senate,0,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5
Eddie_Pirkowski,Senate,2,5,2,0,10,10,10,5,0,10,10,7,10,0,0,10,2,2,0,7
Ron_Curtis,Senate,7,2,5,5,2,2,0,7,5,2,10,2,5,5,2,10,10,2,10,7
Brian_Schatz,Senate,10,0,10,10,5,0,2,10,2,0,10,7,10,10,5,10,7,0,7,0
Michael_Crapo,Senate,0,2,0,0,7,10,10,7,0,10,10,0,7,10,0,0,0,10,2,7
Jim_Risch,Senate,0,10,0,0,10,7,10,2,2,10,10,2,5,10,0,2,2,7,0,7
Tammy_Duckworth,Senate,10,0,7,5,0,0,0,10,2,0,2,10,10,5,5,10,10,0,10,2
Joe_Donnelly,Senate,2,0,7,5,0,0,0,7,7,10,2,0,0,7,2,10,2,2,0,2
Mark_Hurt,Senate,0,5,0,5,7,5,5,0,2,10,10,5,5,7,0,5,0,10,0,7
Luke_Messer,Senate,0,2,0,0,10,7,10,2,2,10,10,0,2,7,0,7,0,10,0,7
Todd_Rokita,Senate,0,2,5,5,10,10,10,2,2,10,10,0,7,7,0,0,0,10,0,10
Mike_Braun,Senate,0,5,5,5,10,5,5,5,5,10,10,0,7,5,0,7,5,5,5,7
Andrew_Straw,Senate,0,0,10,10,7,0,10,10,2,10,2,7,0,2,7,10,7,0,10,0
Todd_Young,Senate,0,2,2,2,10,10,10,5,5,10,10,0,5,5,2,10,0,10,10,10
Chuck_Grassley,Senate,0,10,0,0,7,7,10,7,2,10,10,0,10,10,2,2,0,7,0,7
Joni_Ernst,Senate,0,7,0,0,10,7,10,0,5,10,10,0,7,10,0,0,2,10,2,10
Pat_Roberts,Senate,0,10,0,2,7,10,10,7,0,10,10,0,10,10,0,0,0,7,2,7
Jerry_Moran,Senate,0,2,0,0,7,10,7,2,2,10,10,2,10,10,2,5,0,10,0,7
Rand_Paul,Senate,0,7,2,7,10,7,10,0,10,10,10,7,7,2,7,7,10,10,10,7
John_Neely_Kennedy,Senate,0,0,0,0,5,2,5,10,0,10,2,0,0,10,0,2,2,10,0,5
Bill_Cassidy,Senate,0,7,2,5,10,10,10,2,2,10,10,0,7,7,5,10,2,10,10,5
Angus_King,Senate,10,0,10,7,2,2,2,7,7,2,7,7,7,7,5,10,2,2,2,5
Eric_Brakey,Senate,0,5,0,5,10,5,10,5,10,10,10,5,5,0,7,5,10,5,10,7
Chris_Lyons,Senate,0,10,10,7,10,7,7,2,7,7,7,7,7,2,7,7,7,7,7,7
Zak_Ringelstein,Senate,10,2,5,5,2,0,0,10,5,0,0,10,0,2,7,5,5,5,7,0
Susan_Collins,Senate,10,0,10,2,2,7,7,10,5,7,10,7,7,7,2,7,0,0,5,2
Ben_Cardin,Senate,10,0,10,10,0,2,0,10,7,0,0,10,7,2,2,7,7,0,10,0
Arvin_Vohra,Senate,7,10,5,10,10,10,2,0,5,10,10,7,10,10,10,7,10,2,7,10
Chelsea_Manning,Senate,5,5,10,5,0,5,5,5,10,5,5,10,5,5,7,7,7,5,5,2
Sam_Faddis,Senate,5,5,5,5,7,5,2,5,5,5,7,2,2,2,2,5,7,5,5,7
Tony_Campbell,Senate,0,5,5,5,10,5,7,5,5,10,7,0,5,2,2,2,2,5,7,10
Chris_Van_Hollen,Senate,10,0,10,10,0,0,0,10,7,0,2,10,7,0,5,10,2,0,10,0
Elizabeth_Warren,Senate,10,0,10,10,0,0,0,10,2,0,0,10,2,7,7,10,5,0,7,0
Shiva_Ayyadurai,Senate,5,10,5,5,7,5,7,7,5,10,10,0,5,5,2,10,2,2,5,5
Allen_Waters,Senate,0,5,5,5,5,5,7,5,5,10,10,0,5,7,7,5,2,5,7,7
Beth_Lindstrom,Senate,5,5,10,5,10,5,5,5,5,5,10,0,5,5,5,7,2,5,5,7
Geoff_Diehl,Senate,0,7,0,5,10,5,7,2,2,10,10,0,5,5,0,7,5,10,0,10
Heidi_Wellman,Senate,2,7,7,2,7,2,7,2,7,10,7,0,7,2,2,5,2,7,7,7
John_Kingston,Senate,5,2,5,5,10,5,10,5,10,5,10,2,5,2,0,10,0,7,2,10
Ed_Markey,Senate,10,0,10,10,0,0,0,10,10,0,0,10,2,2,7,10,7,0,7,0
Debbie_Stabenow,Senate,10,0,10,2,0,2,0,10,2,0,0,7,2,2,7,10,7,2,7,0
Mike_Bouchard,Senate,0,2,2,5,10,7,5,2,0,10,10,0,0,5,0,5,0,7,0,10
Bob_Young,Senate,0,5,5,5,7,5,10,0,5,10,10,0,5,5,5,5,5,5,5,10
John_James,Senate,0,5,5,5,10,2,10,7,5,10,10,0,2,7,5,5,2,5,0,7
Marcia_Squier,Senate,7,2,10,7,0,0,0,7,7,2,0,10,0,7,10,10,10,0,10,2
Gary_Peters,Senate,10,0,10,5,0,0,0,10,5,0,0,7,2,5,2,10,2,0,7,0
Amy_Klobuchar,Senate,10,0,10,5,0,0,2,7,2,2,0,2,2,2,7,10,7,0,2,0
Jim_Newberger,Senate,0,10,2,0,10,2,7,0,2,10,10,5,7,10,0,2,7,10,0,10
Paula_Overby,Senate,7,7,7,7,7,2,2,7,7,2,2,7,7,2,10,7,10,2,7,2
Tina_Smith,Senate,10,2,10,5,2,5,0,7,5,0,0,10,2,5,5,5,10,0,10,2
Karin_Housley,Senate,2,10,7,5,7,5,0,0,7,10,10,10,5,5,2,2,2,2,7,2
Norm_Coleman,Senate,0,2,2,0,5,2,7,2,10,7,2,2,10,10,2,10,2,10,0,0
Al_Franken,Senate,10,2,10,10,0,0,2,7,7,0,0,10,2,0,7,10,10,0,7,0
Roger_Wicker,Senate,0,7,0,0,7,10,10,5,0,10,10,0,7,10,0,5,0,10,0,7
Jensen_Bohren,Senate,10,2,10,7,2,0,0,7,10,7,0,10,5,5,5,10,5,0,10,0
David_Baria,Senate,10,2,7,5,0,0,0,7,7,7,0,10,7,5,5,10,2,0,7,0
Cindy_Hyde-Smith,Senate,0,5,0,5,5,5,2,5,5,10,10,0,7,7,5,0,0,0,5,7
Mike_Espy,Senate,10,0,10,5,0,5,0,7,7,7,5,7,10,5,5,7,5,5,7,2
Tate_Reeves,Senate,0,5,0,0,7,5,7,5,2,7,0,0,5,5,7,5,5,7,2,10
Chris_McDaniel,Senate,0,7,0,0,10,5,10,0,0,10,10,0,5,5,0,2,2,10,5,10
Thad_Cochran,Senate,2,2,0,0,7,10,10,2,2,10,10,2,7,10,0,7,0,7,0,7
Claire_McCaskill,Senate,10,0,10,7,2,2,2,7,2,2,0,2,7,5,2,10,7,2,7,0
Austin_Petersen,Senate,0,5,10,2,10,10,7,0,10,10,10,7,10,5,10,5,10,5,10,7
Josh_Hawley,Senate,0,10,0,2,7,5,10,0,2,5,7,0,2,5,5,2,7,10,5,7
Tony_Monetti,Senate,0,2,5,10,10,5,10,0,0,10,7,5,5,5,0,7,5,5,5,0
Angelica_Earl,Senate,10,5,10,5,0,5,0,5,10,5,0,5,5,5,5,5,5,0,10,5
Roy_Blunt,Senate,0,7,0,0,10,10,7,2,2,10,10,2,10,10,0,7,0,10,2,7
Jon_Tester,Senate,10,0,10,7,0,0,0,7,7,7,0,2,7,2,7,10,7,0,7,0
Albert_Olszewski,Senate,0,7,0,7,10,5,7,0,0,10,5,0,5,7,0,2,7,10,0,10
Matt_Rosendale,Senate,2,5,0,5,10,0,10,0,2,7,10,0,0,5,2,0,2,10,10,10
Steve_Daines,Senate,0,2,0,2,10,7,7,0,2,10,10,2,5,7,7,7,2,10,10,7
Deb_Fischer,Senate,0,7,0,0,10,7,7,0,0,10,10,0,2,10,2,10,0,10,5,10
Jane_Raybould,Senate,5,5,5,5,0,0,0,7,5,0,0,10,10,5,2,5,5,0,5,2
Ben_Sasse,Senate,0,5,0,0,10,10,7,5,5,10,10,0,2,10,2,7,2,10,7,10
Dean_Heller,Senate,0,0,2,5,10,5,10,2,2,10,10,0,7,10,2,7,0,10,7,7
Danny_Tarkanian,Senate,10,5,5,5,0,5,10,5,5,10,5,0,5,10,0,10,10,10,5,10
Jacky_Rosen,Senate,10,0,10,5,0,0,0,10,2,0,0,10,0,7,0,10,5,0,5,0
Catherine_Cortez_Masto,Senate,10,0,2,5,0,0,0,10,2,2,2,10,0,5,2,10,0,0,7,2
Jeanne_Shaheen,Senate,10,0,10,7,0,2,2,5,2,5,2,7,7,2,5,10,2,2,2,0
Maggie_Hassan,Senate,10,0,10,5,0,5,0,2,2,2,5,2,7,7,2,7,0,0,2,0
Bob_Menendez,Senate,10,0,10,7,0,0,0,10,2,0,0,10,2,2,2,7,7,0,10,0
Jeff_Chiesa,Senate,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5
Bob_Hugin,Senate,7,2,10,5,7,2,7,5,5,5,10,10,0,5,2,5,2,7,7,7
Rich_Pezzullo,Senate,2,5,5,5,10,5,5,5,5,10,5,0,5,2,5,5,5,10,5,10
Murray_Sabrin,Senate,0,5,0,0,10,10,10,0,0,10,10,0,10,10,5,2,10,10,10,10
Cory_Booker,Senate,10,0,10,10,0,2,10,10,7,0,7,10,2,2,2,10,2,0,7,2
Martin_Heinrich,Senate,10,0,10,7,0,0,0,10,5,5,2,10,5,5,2,10,2,0,10,0
Mick_Rich,Senate,0,2,5,5,10,5,10,0,5,7,10,2,0,5,2,5,2,10,2,7
Gary_Johnson,Senate,7,5,10,2,10,7,10,2,7,10,10,10,10,2,10,7,10,7,10,10
Tom_Udall,Senate,10,0,10,10,0,2,0,10,7,0,0,10,2,0,7,7,10,0,7,0
Kirsten_Gillibrand,Senate,10,0,10,7,0,0,2,7,7,2,2,10,2,2,2,10,5,0,7,0
Dave_Webber,Senate,2,10,7,7,10,0,10,0,7,10,7,10,7,7,2,0,0,7,0,10
Chele_Farley,Senate,5,5,5,5,5,5,2,5,0,5,2,2,5,5,2,7,2,5,2,2
Scott_Noren,Senate,10,5,10,5,0,5,7,7,7,7,2,10,0,5,2,10,5,0,2,2
Caroline_Kennedy,Senate,5,0,5,7,5,5,5,10,5,5,5,7,5,5,5,5,5,5,5,5
Charles_Schumer,Senate,10,0,10,7,0,0,0,7,2,0,0,10,7,0,2,10,2,0,2,0
Richard_Burr,Senate,0,5,0,0,10,10,7,2,2,10,10,2,7,10,0,2,0,10,0,10
Thom_Tillis,Senate,0,7,0,0,10,7,7,0,0,10,10,0,2,10,2,2,2,10,5,10
Heidi_Heitkamp,Senate,7,0,10,5,0,0,2,2,2,10,0,7,10,7,2,10,5,7,2,2
Kevin_Cramer,Senate,0,7,0,2,10,10,10,2,2,10,10,0,7,10,10,0,2,10,7,7
Dustin_Peyer,Senate,10,5,10,5,0,5,5,5,5,10,0,10,5,5,5,5,10,0,10,0
Tom_Campbell,Senate,10,7,7,0,7,10,0,7,10,10,5,10,2,7,5,10,2,2,0,5
John_Hoeven,Senate,0,2,0,0,10,7,2,2,2,10,7,2,7,10,5,7,2,7,0,2
Sherrod_Brown,Senate,10,0,10,7,0,0,0,10,10,0,0,7,0,2,7,10,7,0,7,0
Josh_Mandel,Senate,0,5,0,5,10,7,10,5,2,10,10,2,2,5,2,7,2,10,5,7
Mike_Gibbons,Senate,0,10,2,0,10,7,10,2,0,10,10,0,7,10,0,5,7,7,10,10
Jim_Renacci,Senate,0,2,0,5,10,7,10,2,2,10,10,0,2,10,0,7,5,10,0,10
Rob_Portman,Senate,0,7,5,0,10,7,10,7,0,10,10,7,10,7,0,2,0,10,2,7
James_Inhofe,Senate,0,10,0,0,10,10,10,2,0,10,10,0,7,10,0,2,0,10,0,10
James_Lankford,Senate,0,10,0,0,10,10,10,0,7,10,10,0,5,10,0,7,0,10,0,7
Ron_Wyden,Senate,10,0,10,10,2,0,0,7,2,0,0,7,7,2,7,10,7,0,7,2
Jeff_Merkley,Senate,10,0,7,2,0,0,0,7,2,0,2,2,2,2,7,10,7,0,7,2
Bob_Casey,Senate,2,0,7,2,0,0,0,10,2,7,0,10,2,5,5,7,2,0,2,0
Rick_Saccone,Senate,0,5,5,5,10,2,7,0,0,10,5,0,5,10,5,5,7,10,2,5
Jim_Christiana,Senate,0,5,5,5,10,2,7,0,5,10,10,0,7,5,5,5,5,7,7,10
Lou_Barletta,Senate,0,2,0,2,10,2,10,2,0,10,7,0,2,10,0,5,2,10,2,10
Pat_Toomey,Senate,0,2,0,0,7,10,10,0,2,10,10,0,7,10,2,2,0,10,0,10
Sheldon_Whitehouse,Senate,10,0,10,5,0,0,0,10,7,0,0,10,2,2,5,10,7,0,10,0
Bob_Flanders,Senate,0,2,2,5,7,5,10,2,5,2,10,0,5,2,0,7,0,7,7,0
Bobby_Nardolillo,Senate,5,5,5,5,10,5,10,0,2,5,5,0,5,5,5,7,2,10,5,7
Jack_Reed,Senate,10,0,10,10,2,0,0,10,7,0,0,10,2,0,2,7,5,0,7,0
Lindsey_Graham,Senate,0,7,0,0,10,7,10,2,0,10,10,7,2,7,0,7,0,10,0,7
Tim_Scott,Senate,0,7,0,0,10,10,10,2,7,10,10,2,2,10,2,7,2,10,0,7
John_Thune,Senate,0,10,0,0,7,7,7,2,2,10,10,0,7,10,2,7,0,10,0,10
Mike_Rounds,Senate,0,10,2,5,7,7,5,0,0,10,5,7,7,10,0,7,5,7,0,10
James_Mackler,Senate,5,5,5,5,0,5,0,5,5,5,5,5,0,5,2,5,5,5,5,0
Larry_Crim,Senate,5,5,5,5,2,0,2,5,5,5,7,5,5,5,2,5,0,5,5,5
Marsha_Blackburn,Senate,0,7,0,0,10,10,10,2,2,10,10,0,7,10,2,7,0,10,0,10
Stephen_Fincher,Senate,0,7,0,0,10,2,10,5,5,10,7,0,7,10,0,5,2,10,0,7
Lamar_Alexander,Senate,2,5,0,0,7,10,10,7,2,10,10,2,7,7,2,2,2,7,2,7
Bob_Corker,Senate,0,2,0,2,7,5,7,5,2,10,10,2,7,10,0,7,0,2,0,10
Ted_Cruz,Senate,0,7,0,0,10,10,10,0,0,10,10,0,5,10,0,5,0,10,7,10
Beto_O`Rourke,Senate,10,0,10,10,0,0,0,10,2,0,2,10,10,0,5,7,7,2,10,2
Mitt_Romney,Senate,2,0,2,0,7,10,10,2,0,2,10,2,2,5,0,2,0,7,0,10
Jenny_Wilson,Senate,10,2,10,5,0,5,5,10,2,5,0,10,5,5,5,10,5,2,7,5
Craig_Bowden,Senate,2,10,10,7,10,7,10,0,10,10,10,10,2,0,10,10,10,7,10,10
Mike_Lee,Senate,0,7,0,0,10,7,7,0,5,10,10,0,7,10,0,7,0,10,5,7
Bernie_Sanders,Senate,10,0,10,10,0,0,0,10,10,2,0,7,0,0,10,10,10,0,10,2
Al_Giordano,Senate,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
John_MacGovern,Senate,0,7,5,2,10,7,5,5,5,10,10,5,5,2,7,5,7,10,5,7
Scott_Milne,Senate,2,10,10,5,10,5,7,10,0,7,7,2,5,10,5,7,5,10,2,10
Brooke_Paige,Senate,5,5,5,5,10,5,7,10,7,5,10,5,5,5,5,7,5,2,7,7
Lawrence_Zupan,Senate,5,5,5,5,7,5,5,7,5,5,5,0,5,5,2,5,5,5,5,7
Patrick_Leahy,Senate,7,0,10,10,0,0,0,10,7,2,0,10,7,0,7,7,10,0,10,0
Tim_Kaine,Senate,7,0,10,2,0,0,2,10,7,0,2,10,7,0,0,10,7,2,2,0
Corey_Stewart,Senate,0,10,0,2,10,2,10,0,2,10,10,0,0,10,0,0,7,10,5,10
Nick_Freitas,Senate,0,5,5,2,10,5,10,5,5,10,10,2,5,5,7,5,5,5,7,7
Mark_Warner,Senate,7,0,7,2,2,7,5,7,2,10,2,2,7,7,5,10,2,2,0,2
Maria_Cantwell,Senate,10,0,10,10,2,0,0,10,7,0,0,10,10,0,7,10,7,0,2,2
Jennifer_Ferguson,Senate,5,2,5,5,5,0,5,10,10,5,0,7,5,5,2,10,5,5,5,7
Susan_Hutchison,Senate,7,0,5,5,10,5,2,0,5,10,7,0,2,7,0,10,2,5,2,7
Mike_Luke,Senate,10,5,7,5,10,0,10,5,10,10,0,2,2,5,10,7,10,10,10,7
Dave_Strider,Senate,7,7,10,10,0,0,0,10,10,2,0,7,2,7,7,2,7,0,10,0
Patty_Murray,Senate,10,0,10,10,0,0,0,10,7,0,0,10,10,0,2,7,7,0,10,0
Joe_Manchin_III,Senate,7,0,2,5,0,0,0,5,7,10,2,2,5,10,2,10,0,10,0,5
John_Raese,Senate,0,7,0,0,10,10,10,0,0,10,10,0,10,5,0,2,0,10,0,10
Carte_Goodwin,Senate,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5
Patrick_Morrisey,Senate,0,5,2,2,7,5,7,0,0,10,10,0,2,10,0,5,2,10,0,7
Paula_Jean_Swearengin,Senate,7,5,10,5,0,5,0,2,10,2,0,10,5,5,10,7,7,2,10,2
Evan_Jenkins,Senate,0,5,0,5,10,0,7,2,0,10,7,0,2,7,0,2,5,10,0,2
Don_Blankenship,Senate,0,10,5,5,5,5,2,0,7,10,7,0,5,7,5,5,5,5,2,7
Shelley_Moore_Capito,Senate,2,2,0,0,7,7,10,2,5,10,10,2,5,10,2,7,0,7,0,2
Tammy_Baldwin,Senate,10,0,10,10,0,2,0,10,10,0,0,10,2,0,7,7,10,0,10,0
Leah_Vukmir,Senate,0,5,2,0,10,10,10,0,0,10,10,0,2,5,2,2,5,10,2,7
Ron_Johnson,Senate,0,7,0,0,10,10,10,0,5,10,10,0,5,10,0,5,0,10,5,10
John_Barrasso,Senate,0,7,5,0,7,7,7,5,2,10,10,0,7,10,0,7,0,10,0,10
Gary_Trauner,Senate,10,2,5,7,2,0,0,2,5,10,0,7,2,5,7,10,5,2,5,2
Michael_Enzi,Senate,0,10,0,2,7,10,10,2,2,10,10,0,7,10,0,2,0,10,7,10
Michael_Bennet,Presidential_2020,10,0,10,5,2,0,2,7,7,2,0,10,7,5,0,10,2,2,10,2
Joe_Biden,Presidential_2020,7,2,10,7,0,2,2,10,7,0,0,10,7,0,7,10,7,0,2,0
Mike_Bloomberg,Presidential_2020,10,0,10,10,2,5,7,10,7,0,2,10,10,5,5,10,2,0,2,0
Cory_Booker,Presidential_2020,10,0,10,7,0,0,7,10,7,0,2,10,2,2,2,10,2,0,10,2
Pete_Buttigieg,Presidential_2020,10,0,10,5,0,5,7,5,10,0,0,7,7,7,0,10,2,0,10,0
Julian_Castro,Presidential_2020,10,0,10,5,0,5,0,10,10,2,2,10,2,0,0,10,7,2,7,0
John_Delaney,Presidential_2020,10,0,7,10,2,0,2,5,7,7,0,10,10,2,2,10,10,0,10,2
Tulsi_Gabbard,Presidential_2020,10,0,7,7,0,0,0,5,10,7,2,7,10,7,7,10,10,0,10,7
Amy_Klobuchar,Presidential_2020,10,0,10,10,0,0,0,7,7,2,0,7,2,2,2,10,2,2,2,0
Wayne_Messam,Presidential_2020,10,2,5,5,0,5,0,10,5,0,2,10,5,5,5,5,5,0,5,5
Deval_Patrick,Presidential_2020,10,0,10,7,0,5,2,10,7,0,2,10,7,5,5,10,10,0,10,0
Bernie_Sanders,Presidential_2020,10,0,10,10,0,0,0,10,10,2,0,7,0,0,10,10,10,0,10,0
Tom_Steyer,Presidential_2020,10,0,10,5,0,5,0,10,10,0,0,10,7,0,5,10,2,2,2,5
Elizabeth_Warren,Presidential_2020,10,0,10,10,0,0,0,10,2,0,0,10,2,7,7,10,7,0,10,0
Marianne_Williamson,Presidential_2020,10,0,10,7,0,0,5,7,10,2,0,10,2,0,7,10,7,0,10,0
Andrew_Yang,Presidential_2020,10,0,10,5,0,2,2,7,10,2,0,7,7,0,7,7,7,0,10,0
Justin_Amash,Presidential_2020,0,7,0,5,10,5,10,5,10,10,10,0,5,5,5,5,7,10,10,7
Howie_Hawkins,Presidential_2020,10,0,10,7,0,0,2,10,10,0,0,10,0,0,10,10,10,0,10,0
Larry_Hogan,Presidential_2020,2,2,7,5,7,2,7,10,0,2,10,5,5,7,2,7,5,0,2,10
Mike_Pence,Presidential_2020,0,10,2,0,10,7,10,2,2,10,10,0,10,10,0,2,0,10,0,7
Mark_Sanford,Presidential_2020,0,0,2,2,7,7,10,2,2,5,7,2,7,5,2,10,5,7,5,10
Donald_Trump,Presidential_2020,2,7,7,0,7,7,10,0,0,10,7,0,0,10,2,2,2,10,2,10
Arvin_Vohra,Presidential_2020,7,10,5,10,10,10,2,0,5,10,10,7,10,10,10,7,10,2,7,10
Joe_Walsh,Presidential_2020,0,5,2,5,10,10,10,2,7,10,10,2,10,10,5,10,2,7,5,10
Bill_Weld,Presidential_2020,10,0,10,5,2,0,10,10,2,7,10,7,10,2,10,7,10,2,7,7
